FullName|Reputation|Answers|Questions|PeopleReached|Location|Github|Membership|Tags
Nick|94203|3904|3|436000|australia||2.17|php, mysql, sql, arrays, regex
CB Bailey|592110|1980||422000000|united kingdom|ashpling|11.67|git, c++, c, stl, pointers, arrays
Sven Marnach|426567|2416|13|400000000|germany|marnach|10.25|python, string, list, numpy
CMS|669915|2179||753000000|guatemala|ms|11.75|jquery, html, c#, arrays, .net
Mark Byers|665058|6759||843000000|denmark||11.33|python, c#, mysql, string, sql, java
Erwin Brandstetter|420229|5483|11|336000000|austria||8.67|sql, plpgsql, database, arrays
cs95|209151|5363|150|306000000|at an ipython shell near you||0|python, pandas, dataframe, numpy, list
Peter Cordes|196798|4416||275000000|canada|cordes|10.50|assembly, x86, c++, c, x86-64
mklement0|194166|4080|14|201000000|united states|klement|11.42|bash, shell, macos, sed, linux
anubhava|596225|22821|10|360000000|india|nubhavas|9.42|bash, regex, .htaccess, shell, apache
matt|396869|9492|128|184000000|nan||0|ios, swift, xcode, iphone
ImportanceOfBeingErnest|205301|5157|15|134000000|quantumlocation||5.58|python, seaborn, pandas, plot
icza|237423|3079|13|224000000|hungary|cza|7.67|go, string, struct, java, slice, pointers
EdChum|241521|3061||222000000|united kingdom||0|pandas, python, dataframe, datetime, csv, numpy
eyllanesc|144794|5143||51430000000|nan|yllanesc|3.83|python, pyqt, pyqt5, qt, c++, qt5
Vlad from Moscow|192351|8672||495000000|russia||6.58|c++, c, arrays, pointers, string, vector
Shepmaster|219574|2968||912000000|pa|hepmaster|10.75|rust, lifetime, traits, iterator
Ignacio Vazquez-Abrams|651241|12301||883000000|nan||11.67|python, django, bash, linux, php, shell
Darin Dimitrov|914395|21458|41|1420000000|bulgaria||11.58|c#, jquery, asp.net, .net
Michael Benjamin|216641|2777|36|166000000|ny||0|css, html, flexbox, css-grid, centering
SLaks|753774|15135|51|971000000|new jersey||11.58|c#, .net, jquery, java, html
eerorika|139738|4215||42151000000|finland|erorika|7.25|c++, c++11, pointers, c, arrays, vector
Aaron Hall|242779|660|30|1238000000|united states|aronchall|9.42|python, exception, list, oop, string
Remy Lebeau|397164|11936||185000000|united states|lebeau|11.25|delphi, c++, winapi, indy, sockets, windows
CopsOnRoad|52939|918||9183000000|locating...||3.83|flutter, dart, android
YOBEN_S|196386|7876||173000000|united states||0|pandas, python, dataframe, numpy
Rabbid76|94546|0||0|austria||4.50|opengl, python, c++, pygame, glsl, shader
Zim|254300|3109|26|453000000|usa||10.67|css, html
forpas|77811|0||0|nan||1.58|sql, mysql, sqlite, android, java
Basil Bourque|171941|4244|410|565000000|nan|asil|9.25|java, date, datetime, timezone, time, calendar
yatu|59522|0||0|catalunya||0|python, pandas, list, numpy, dataframe
Stephen C|587859|13760|22|740000000|australia||10.83|java, string, android, arrays
Quang Hoang|55078|0||0|canada|uanghm|5.50|python, pandas, dataframe, numpy
Jonathan Leffler|628442|12562|49|749000000|usa|leffler|11.67|c, bash, shell, unix, linux, c++
Andy Hayden|247391|1963|55|325000000|san francisco bay area|ayd|8.25|python, pandas, dataframe, numpy, csv
BoltClock|586443|4596|25|436000000|singapore||0|css, html, php, c#
JaredPar|635103|6418||682000000|wa||11.67|c#, .net, c++, linq, vb.net
Stephen Cleary|337518|4184|12|185000000|mi||10.33|c#, .net
Bryan Oakley|268344|7084|36|256000000|ok|oakley|11.67|python, tkinter
poke|269359|3379|82|188000000|germany|oke|10.50|python, git, c#, list
John Rotenstein|126005|4971||49719000000|australia||10.67|amazon-s3, python
marc_s|636905|9054|218|888000000|switzerland||11.67|sql, c#, tsql, wcf
Nicol Bolas|340240|4963|35|119000000|nan||0|c++, opengl, c++11, glsl, lua, c++17
vadian|202741|6369||63690000000|switzerland|tklieme|4.92|swift, ios, swift3, json, xcode, arrays
jcalz|76882|1843||18431000000|massachusetts||6.58|generics, types
Temani Afif|134557|4706||47068000000|tunisia||2.67|css, html, flexbox, css-grid
Mark Longair|345395|721|21|234000000|united kingdom||10.50|git, github, python, bash
JB Nizet|601585|13981||516000000|france|nizet|9.33|java, hibernate, jpa, spring, angularjs, jsp
Cascabel|386469|737||279000000|usa||10.92|git, github, branch, vim, bash, merge
Martin R|456625|5912||150000000|germany||8.33|swift, ios, arrays, core-data, swift3
Amber|408165|3433||362000000|california|yust|10.83|git, python, php, regex, mysql
e-satis|481013|480|212|275000000|nan||11.67|python, php, orm, html, django
Tanaike|62523|2292||22921000000|japan|anaikech|3.58|python
wim|230504|2526|302|219000000|𝕀𝕃|imglenn|9.17|python, numpy, list
Holger|211065|3521||101000000|berlin||6.75|java, java-8, lambda, jvm
Andreas|113954|4378||43782000000|nan||4.75|java, java-8, android, string, arrays, spring
Some programmer dude|341605|10550|33|223000000|sweden|ileon|9.75|c++, c, pointers, arrays, c++11, string
DSM|257491|2454||194000000|canada||9.58|python, pandas, dataframe, numpy
piRSquared|209740|5836|246|224000000|united states|irsquared|0|pandas, python, dataframe, numpy
Christos Lytras|25203|329||3299000000|greece|lytras|7.42|php, html, jquery, reactjs, css
Nkosi|165379|3941||39417000000|trinidad and tobago||4.75|c#, .net-core, moq
alecxe|380498|8573|223|256000000|united states|lecxe|0|python, selenium
Gumbo|561364|4564|13|654000000|germany|wulftange|11.33|php, regex, html, .htaccess
CrazyCoder|322740|2538||160000000|usa||0|java, phpstorm, ide, pycharm, webstorm
zero323|250452|2893||185000000|nan|ero|7.83|pyspark, python, scala, dataframe
Mureinik|217657|8195||81959000000|israel|ureinik|0|java, sql, select, mysql, python
Allan Cameron|17604|0||0|uk||0|r, ggplot2, dplyr, rvest, dataframe
Guffa|607112|10621||813000000|sweden||11.25|c#, jquery, .net, html, sql
BMitch|109013|1809||133000000|virginia||9.33|docker, linux, lua
Titian Cernicova-Dragomir|121423|2971||29710000000|romania||10.92|c#, angular, reactjs, types
Rory McCrossan|286281|9035|41|147000000|united kingdom||9.50|jquery, html, css, ajax, php
Hans Passant|840880|16098||685000000|wi||11.67|c#, .net, winforms, c++, vb.net
Eric Lippert|590383|3773||192000000|wa||0|c#, .net, generics, linq, lambda
Estus Flask|120488|3034||2376000000|nan||5.92|angular, reactjs, node.js
Andy Turner|115807|3218||193000000|united kingdom||5.92|java, generics, java-8, arrays, string
jfs|314432|4482|37|759000000|russia||11.75|python, datetime, unicode
Konrad Rudolph|448693|3975|100|532000000|united kingdom|lmr|11.75|c++, c#, .net, r, string, vb.net
larsks|160828|2485|59|112000000|nan|arsks|10.83|docker, git, python, bash, linux, ansible
Daniel Roseman|510010|12852||246000000|united kingdom||0|django, python
Eran|335580|8214|12|120000000|israel||8.25|java, java-8, android, arrays
NPE|405270|6749|58|474000000|united kingdom||9.92|python, java, c++, c, string, list
Bill Karwin|426524|6565|15|370000000|california|illkarwin|11.67|mysql, sql, php, database, pdo
Rob|346263|5886|18|161000000|usa|obertmryan|8.17|ios, swift, xcode, iphone
Eric Postpischil|111099|2778||143000000|nan||10.17|c, c++, pointers, gcc, arrays
yurzui|141651|1637||16370000000|nan|lexzuza|4.58|angular, html
anky|43605|0||0|india||0|pandas, python, dataframe, numpy
player0|46280|0||0|antarctica||4.50|regex
dbush|134348|3917||126000000|new jersey||7.67|c, pointers, c++, arrays, struct, linux
Alasdair|223635|4188||183000000|united kingdom|lasdairnicol|0|django, python
ThomasIsCoding|17319|0||0|sweden||0|r, dataframe, dplyr, matrix, matlab
Arvind Kumar Avinash|18103|0||0|united kingdom||1.42|java, arrays, string, hybris, arraylist, list
StupidWolf|19534|0||0|nan||0|r, ggplot2, dplyr, python, plot
user2357112 supports Monica|190875|4161||273000000|nan||0|python, numpy, java, arrays
hpaulj|148277|6344||103000000|wa|paulj|8.75|python, numpy, arrays, argparse, scipy
Laurenz Albe|89033|4330||43308000000|austria|aurenz|3.92|sql, database, indexing, plpgsql
Sweeper|111435|3902||2401000000|uk||4.83|java, swift, c#, ios, generics, regex
ghostdog74|260226|2985|12|600000000|nan||10.92|bash, python, shell, unix, linux, sed
SilentGhost|237773|1002||356000000|nan||11.67|python, string, list, datetime, regex
trincot|165424|6103||61033000000|belgium||4.58|jquery, arrays, php, algorithm, sql
DebanjanB|82672|5170||475000000|india||3.33|selenium, python, webdriver, java
Ori Drori|120373|3569||35694000000|israel||4.83|reactjs, arrays, lodash, css
Joan Venge|242149|23|751|262000000|ca||11.42|c#, .net, wpf, python, winforms, xaml
deceze|444279|8323|79|306000000|germany|eceze|11.83|php, arrays, mysql, html, cakephp
nickf|474171|1704|332|574000000|switzerland|padgos|11.67|jquery, php, html, css, mysql
Gabriele Mariotti|142401|2035|16|126000000|italy|abrielemariotti|7.33|android, gradle
kaya3|21609|0||0|united kingdom|aya|0|python, java, algorithm
Jarod42|151142|5018||50181000000|france||6.75|c++, c++11, templates, c++14, c++17
