FullName|Reputation|Answers|Questions|PeopleReached|Location|Github|Membership|Tags
Nick|'94203'|3,904|3|436k|Adelaide SA, Australia||2 years, 2 months|php, mysql, sql, arrays, regex
CB Bailey|'592110'|1,980||42.2m|United Kingdom|ashpling|11 years, 8 months|git, c++, c, stl, pointers, arrays
Sven Marnach|'426567'|2,416|13|40.0m|Preetz, Germany|marnach|10 years, 3 months|python, string, list, numpy
CMS|'669915'|2,179||75.3m|Guatemala|ms|11 years, 9 months|jquery, html, c#, arrays, .net
Mark Byers|'665058'|6,759||84.3m|Denmark||11 years, 4 months|python, c#, mysql, string, sql, java
Erwin Brandstetter|'420229'|5,483|11|33.6m|Vienna, Austria||8 years, 8 months|sql, plpgsql, database, arrays
cs95|'209151'|5,363|150|30.6m|At an ipython shell near you|||python, pandas, dataframe, numpy, list
Peter Cordes|'196798'|4,416||27.5m|Halifax, Canada|cordes|10 years, 6 months|assembly, x86, c++, c, x86-64
mklement0|'194166'|4,080|14|20.1m|United States|klement|11 years, 5 months|bash, shell, macos, sed, linux
anubhava|'596225'|22,821|10|36.0m|Bangalore, India|nubhavas|9 years, 5 months|bash, regex, .htaccess, shell, apache
matt|'396869'|9,492|128|18.4m||||ios, swift, xcode, iphone
ImportanceOfBeingErnest|'205301'|5,157|15|13.4m|QuantumLocation||5 years, 7 months|python, seaborn, pandas, plot
icza|'237423'|3,079|13|22.4m|Budapest, Hungary|cza|7 years, 8 months|go, string, struct, java, slice, pointers
EdChum|'241521'|3,061||22.2m|Berkshire, United Kingdom|||pandas, python, dataframe, datetime, csv, numpy
eyllanesc|'144794'|5,143||5,143.0m||yllanesc|3 years, 10 months|python, pyqt, pyqt5, qt, c++, qt5
Vlad from Moscow|'192351'|8,672||49.5m|Moscow, Russia||6 years, 7 months|c++, c, arrays, pointers, string, vector
Shepmaster|'219574'|2,968||91.2m|Pittsburgh, PA|hepmaster|10 years, 9 months|rust, lifetime, traits, iterator
Ignacio Vazquez-Abrams|'651241'|12,301||88.3m|||11 years, 8 months|python, django, bash, linux, php, shell
Darin Dimitrov|'914395'|21,458|41|142.0m|Sofia, Bulgaria||11 years, 7 months|c#, jquery, asp.net, .net
Michael Benjamin|'216641'|2,777|36|16.6m|NY|||css, html, flexbox, css-grid, centering
SLaks|'753774'|15,135|51|97.1m|New Jersey||11 years, 7 months|c#, .net, jquery, java, html
eerorika|'139738'|4,215||4,215.1m|Turku, Finland|erorika|7 years, 3 months|c++, c++11, pointers, c, arrays, vector
Aaron Hall|'242779'|660|30|123.8m|NYC, NY, United States|aronchall|9 years, 5 months|python, exception, list, oop, string
Remy Lebeau|'397164'|11,936||18.5m|United States|lebeau|11 years, 3 months|delphi, c++, winapi, indy, sockets, windows
CopsOnRoad|'52939'|918||918.3m|Locating...||3 years, 10 months|flutter, dart, android
YOBEN_S|'196386'|7,876||17.3m|United States|||pandas, python, dataframe, numpy
Rabbid76|'94546'||||Austria||4 years, 6 months|opengl, python, c++, pygame, glsl, shader
Zim|'254300'|3,109|26|45.3m|USA||10 years, 8 months|css, html
forpas|'77811'||||||1 year, 7 months|sql, mysql, sqlite, android, java
Basil Bourque|'171941'|4,244|410|56.5m||asil|9 years, 3 months|java, date, datetime, timezone, time, calendar
yatu|'59522'||||Barcelona, Catalunya|||python, pandas, list, numpy, dataframe
Stephen C|'587859'|13,760|22|74.0m|Australia||10 years, 10 months|java, string, android, arrays
Quang Hoang|'55078'||||Toronto, ON, Canada|uanghm|5 years, 6 months|python, pandas, dataframe, numpy
Jonathan Leffler|'628442'|12,562|49|74.9m|Colorado, USA|leffler|11 years, 8 months|c, bash, shell, unix, linux, c++
Andy Hayden|'247391'|1,963|55|32.5m|San Francisco Bay Area|ayd|8 years, 3 months|python, pandas, dataframe, numpy, csv
BoltClock|'586443'|4,596|25|43.6m|Singapore|||css, html, php, c#
JaredPar|'635103'|6,418||68.2m|Redmond, WA||11 years, 8 months|c#, .net, c++, linq, vb.net
Stephen Cleary|'337518'|4,184|12|18.5m|Williamsburg, MI||10 years, 4 months|c#, .net
Bryan Oakley|'268344'|7,084|36|25.6m|Choctaw, OK|oakley|11 years, 8 months|python, tkinter
poke|'269359'|3,379|82|18.8m|Dortmund, Germany|oke|10 years, 6 months|python, git, c#, list
John Rotenstein|'126005'|4,971||4,971.9m|Sydney, Australia||10 years, 8 months|amazon-s3, python
marc_s|'636905'|9,054|218|88.8m|Bern, Switzerland||11 years, 8 months|sql, c#, tsql, wcf
Nicol Bolas|'340240'|4,963|35|11.9m||||c++, opengl, c++11, glsl, lua, c++17
vadian|'202741'|6,369||6,369.0m|St. Gallen, Switzerland|tklieme|4 years, 11 months|swift, ios, swift3, json, xcode, arrays
jcalz|'76882'|1,843||1,843.1m|Cambridge, Massachusetts||6 years, 7 months|generics, types
Temani Afif|'134557'|4,706||4,706.8m|Tunisia||2 years, 8 months|css, html, flexbox, css-grid
Mark Longair|'345395'|721|21|23.4m|London, United Kingdom||10 years, 6 months|git, github, python, bash
JB Nizet|'601585'|13,981||51.6m|Saint-Etienne, France|nizet|9 years, 4 months|java, hibernate, jpa, spring, angularjs, jsp
Cascabel|'386469'|737||27.9m|USA||10 years, 11 months|git, github, branch, vim, bash, merge
Martin R|'456625'|5,912||15.0m|Germany||8 years, 4 months|swift, ios, arrays, core-data, swift3
Amber|'408165'|3,433||36.2m|California|yust|10 years, 10 months|git, python, php, regex, mysql
e-satis|'481013'|480|212|27.5m|||11 years, 8 months|python, php, orm, html, django
Tanaike|'62523'|2,292||2,292.1m|Japan|anaikech|3 years, 7 months|python
wim|'230504'|2,526|302|21.9m|ℂ𝕙𝕚𝕔𝕒𝕘𝕠, 𝕀𝕃|imglenn|9 years, 2 months|python, numpy, list
Holger|'211065'|3,521||10.1m|Berlin||6 years, 9 months|java, java-8, lambda, jvm
Andreas|'113954'|4,378||4,378.2m|||4 years, 9 months|java, java-8, android, string, arrays, spring
Some programmer dude|'341605'|10,550|33|22.3m|Malmö, Sweden|ileon|9 years, 9 months|c++, c, pointers, arrays, c++11, string
DSM|'257491'|2,454||19.4m|Canada||9 years, 7 months|python, pandas, dataframe, numpy
piRSquared|'209740'|5,836|246|22.4m|Irvine, CA, United States|irsquared||pandas, python, dataframe, numpy
Christos Lytras|'25203'|329||329.9m|Lamia, Phthiotis, Greece|lytras|7 years, 5 months|php, html, jquery, reactjs, css
Nkosi|'165379'|3,941||3,941.7m|Trinidad and Tobago||4 years, 9 months|c#, .net-core, moq
alecxe|'380498'|8,573|223|25.6m|New York, United States|lecxe||python, selenium
Gumbo|'561364'|4,564|13|65.4m|Ulm, Germany|wulftange|11 years, 4 months|php, regex, html, .htaccess
CrazyCoder|'322740'|2,538||16.0m|San Diego, CA, USA|||java, phpstorm, ide, pycharm, webstorm
zero323|'250452'|2,893||18.5m||ero|7 years, 10 months|pyspark, python, scala, dataframe
Mureinik|'217657'|8,195||8,195.9m|Tel Aviv, Israel|ureinik||java, sql, select, mysql, python
Allan Cameron|'17604'||||UK|||r, ggplot2, dplyr, rvest, dataframe
Guffa|'607112'|10,621||81.3m|Virsbo, Sweden||11 years, 3 months|c#, jquery, .net, html, sql
BMitch|'109013'|1,809||13.3m|Virginia||9 years, 4 months|docker, linux, lua
Titian Cernicova-Dragomir|'121423'|2,971||2,971.0m|Timișoara, Timiș County, Romania||10 years, 11 months|c#, angular, reactjs, types
Rory McCrossan|'286281'|9,035|41|14.7m|Buckinghamshire, United Kingdom||9 years, 6 months|jquery, html, css, ajax, php
Hans Passant|'840880'|16,098||68.5m|Madison, WI||11 years, 8 months|c#, .net, winforms, c++, vb.net
Eric Lippert|'590383'|3,773||19.2m|Seattle, WA|||c#, .net, generics, linq, lambda
Estus Flask|'120488'|3,034||237.6m|||5 years, 11 months|angular, reactjs, node.js
Andy Turner|'115807'|3,218||19.3m|London, United Kingdom||5 years, 11 months|java, generics, java-8, arrays, string
jfs|'314432'|4,482|37|75.9m|Moscow, Russia||11 years, 9 months|python, datetime, unicode
Konrad Rudolph|'448693'|3,975|100|53.2m|Cambridge, United Kingdom|lmr|11 years, 9 months|c++, c#, .net, r, string, vb.net
larsks|'160828'|2,485|59|11.2m||arsks|10 years, 10 months|docker, git, python, bash, linux, ansible
Daniel Roseman|'510010'|12,852||24.6m|London, United Kingdom|||django, python
Eran|'335580'|8,214|12|12.0m|Israel||8 years, 3 months|java, java-8, android, arrays
NPE|'405270'|6,749|58|47.4m|London, United Kingdom||9 years, 11 months|python, java, c++, c, string, list
Bill Karwin|'426524'|6,565|15|37.0m|California|illkarwin|11 years, 8 months|mysql, sql, php, database, pdo
Rob|'346263'|5,886|18|16.1m|Los Angeles, CA, USA|obertmryan|8 years, 2 months|ios, swift, xcode, iphone
Eric Postpischil|'111099'|2,778||14.3m|||10 years, 2 months|c, c++, pointers, gcc, arrays
yurzui|'141651'|1,637||1,637.0m||lexzuza|4 years, 7 months|angular, html
anky|'43605'||||Bangalore, Karnataka, India|||pandas, python, dataframe, numpy
player0|'46280'||||Antarctica||4 years, 6 months|regex
dbush|'134348'|3,917||12.6m|New Jersey||7 years, 8 months|c, pointers, c++, arrays, struct, linux
Alasdair|'223635'|4,188||18.3m|Guildford, United Kingdom|lasdairnicol||django, python
ThomasIsCoding|'17319'||||Göteborg, Sweden|||r, dataframe, dplyr, matrix, matlab
Arvind Kumar Avinash|'18103'||||United Kingdom||1 year, 5 months|java, arrays, string, hybris, arraylist, list
StupidWolf|'19534'|||||||r, ggplot2, dplyr, python, plot
user2357112 supports Monica|'190875'|4,161||27.3m||||python, numpy, java, arrays
hpaulj|'148277'|6,344||10.3m|Seattle, WA|paulj|8 years, 9 months|python, numpy, arrays, argparse, scipy
Laurenz Albe|'89033'|4,330||4,330.8m|Vienna, Austria|aurenz|3 years, 11 months|sql, database, indexing, plpgsql
Sweeper|'111435'|3,902||240.1m|UK||4 years, 10 months|java, swift, c#, ios, generics, regex
ghostdog74|'260226'|2,985|12|60.0m|||10 years, 11 months|bash, python, shell, unix, linux, sed
SilentGhost|'237773'|1,002||35.6m|||11 years, 8 months|python, string, list, datetime, regex
trincot|'165424'|6,103||6,103.3m|Belgium||4 years, 7 months|jquery, arrays, php, algorithm, sql
DebanjanB|'82672'|5,170||47.5m|Pune, Maharashtra, India||3 years, 4 months|selenium, python, webdriver, java
Ori Drori|'120373'|3,569||3,569.4m|Israel||4 years, 10 months|reactjs, arrays, lodash, css
Joan Venge|'242149'|23|751|26.2m|Los Angeles, CA||11 years, 5 months|c#, .net, wpf, python, winforms, xaml
deceze|'444279'|8,323|79|30.6m|Germany|eceze|11 years, 10 months|php, arrays, mysql, html, cakephp
nickf|'474171'|1,704|332|57.4m|Zürich, Switzerland|padgos|11 years, 8 months|jquery, php, html, css, mysql
Gabriele Mariotti|'142401'|2,035|16|12.6m|Italy|abrielemariotti|7 years, 4 months|android, gradle
kaya3|'21609'||||United Kingdom|aya||python, java, algorithm
Jarod42|'151142'|5,018||5,018.1m|France||6 years, 9 months|c++, c++11, templates, c++14, c++17
Mark Setchell|'122408'|4,806||4,806.9m|Cheltenham, UK||6 years, 8 months|bash, macos, image, python
basarat|'176408'|3,886|84|15.3m|Melbourne, Australia|asarat|9 years, 10 months|node.js, angular, angularjs, reactjs
falsetru|'285411'|5,276||19.9m|Seoul, South Korea||7 years, 2 months|python, string, list, regex
cletus|'552430'|2,995|57|73.8m|New York, NY||11 years, 8 months|java, jquery, css, php, html
kederrac|'14254'||||||6 years, 5 months|python, list, pandas, string
John Kugelman|'284771'|3,840|26|23.4m|Virginia||11 years, 3 months|bash, java, linux, shell, python, unix
NathanOliver|'137147'|2,797||2,797.0m|Chicago Land Area||5 years, 5 months|c++, c++11, templates, c++17, vector, string
Matthew Rankin|'375471'|114|70|11.7m|Independence, MO|||git, python, django, pip, go
TIMEX|'192826'|54|1,573|22.0m|||10 years, 8 months|python, django, mysql, database, html, jquery
